English	Term1	Term2	Term1_Audio	Term2_Audio	tags
also	auch		[sound:BAKU_A1_auch_dwdownload.mp3]		hallo
example	das Beispiel, die Beispiele 		[sound:BAKU_A1_Beispiel_dwdownload.mp3]		hallo
thanks	danke <br><small><i>alternativ: danke schön / danke sehr</i></small>		[sound:BAKU_A1_danke_dwdownload.mp3]		hallo
I’m doing well.	Mir geht's gut.<br><br>	Es geht mir gut.	[sound:BAKU_A1_mir_gehts_gut_dwdownload.mp3]	[sound:BAKU_A1_es_geht_mir_gut_dwdownload.mp3]	hallo
It is 9 o'clock.	Es ist 09:00 Uhr.		[sound:A1_E7_L1_S14_A1_Loesungsaudio_dwdownload.mp3]		hallo
Ms/Mrs	Frau <br><small><i>hier nur Singular, ohne Artikel</i></small>		[sound:BAKU_Frau_dwdownload.mp3]		hallo
"woman<br><img src=""39539529_507.jpg"" width=""50%"" height=""50%"">"	die Frau, die Frauen		[sound:BAKU_A1_Frau_dwdownload.mp3]		hallo
well; good	gut <br><small><i>besser, am besten</i></small>		[sound:BAKU_A1_gut_dwdownload.mp3]		hallo
Good evening.	Guten Abend.		[sound:BAKU_A1_Guten_Abend_dwdownload.mp3]		hallo
Good morning.	Guten Morgen.		[sound:BAKU_A1_Guten_Morgen_dwdownload.mp3]		hallo
Hello.; Good day.	Guten Tag.		[sound:BAKU_A1_Guten_Tag_dwdownload.mp3]		hallo
Hello!	Hallo!		[sound:BAKU_A1_hallo_dwdownload.mp3]		hallo
"Mr<br><img src=""39539175_507.jpg"" width=""50%"" height=""50%"">"	Herr <br><small><i>hier nur Singular, ohne Artikel</i></small>		[sound:BAKU_A1_Herr_dwdownload.mp3]		hallo
Hey!	Hey! <br><small><i>aus dem Englischen</i></small>		[sound:BAKU_A1_hey_dwdownload.mp3]		hallo
Hi!	Hi! <br><small><i>aus dem Englischen</i></small>		[sound:BAKU_A1_hi_dwdownload.mp3]		hallo
"man<br><img src=""39539175_507.jpg"" width=""50%"" height=""50%"">"	der Mann, die Männer		[sound:BAKU_A1_Mann_dwdownload.mp3]		hallo
not	nicht		[sound:BAKU_A1_nicht_dwdownload.mp3]		hallo
not so good	nicht so gut		[sound:BAKU_A1_nicht_so_gut_dwdownload.mp3]		hallo
or	oder		[sound:BAKU_A1_oder_dwdownload.mp3]		hallo
nice; beautiful; pretty	schön <br><small><i>schöner, am schönsten</i></small>		[sound:BAKU_A1_schoen_dwdownload.mp3]		hallo
very well; very good	sehr gut		[sound:BAKU_A1_sehr_gut_dwdownload.mp3]		hallo
super; great	super		[sound:BAKU_A1_super_dwdownload.mp3]		hallo
o'clock	Uhr <br><small><i>in Uhrzeiten: nur Singular</i></small>		[sound:BAKU_Uhr_dwdownload.mp3]		hallo
and	und		[sound:BAKU_A1_und_dwdownload.mp3]		hallo
How about you? (informal)	Und dir?		[sound:BAKU_A1_und_dir_dwdownload.mp3]		hallo
How about you? (formal)	Und Ihnen?		[sound:BAKU_A1_und_ihnen_dwdownload.mp3]		hallo
How are you? (informal)	Wie geht es dir? <br><small><i>Varianten: Wie geht’s? / Wie geht’s dir?</i></small>		[sound:BAKU_A1_wie_gehts_dir_dwdownload.mp3]		hallo
How are you? (formal)	Wie geht es Ihnen?		[sound:BAKU_A1_wie_geht_es_ihnen_dwdownload.mp3]		hallo
"bank<br><img src=""39938483_507.jpg"" width=""50%"" height=""50%"">"	die Bank, die Banken 		[sound:BAKU_A1_Bank_dwdownload.mp3]		kein-problem
please	bitte		[sound:BAKU_A1_bitte_dwdownload.mp3]		kein-problem
"office<br><img src=""39538836_507.jpg"" width=""50%"" height=""50%"">"	das Büro, die Büros 		[sound:BAKU_A1_Buero_dwdownload.mp3]		kein-problem
"bus<br><img src=""39539455_507.jpg"" width=""50%"" height=""50%"">"	der Bus, die Busse 		[sound:BAKU_A1_Bus_dwdownload.mp3]		kein-problem
"computer<br><img src=""39436415_507.jpg"" width=""50%"" height=""50%"">"	der Computer, die Computer 		[sound:BAKU_A1_Computer_dwdownload.mp3]		kein-problem
"email<br><img src=""39539319_507.jpg"" width=""50%"" height=""50%"">"	die E-Mail, die E-Mails		[sound:BAKU_A1_E-Mail_dwdownload.mp3]		kein-problem
"family<br><img src=""39936148_507.jpg"" width=""50%"" height=""50%"">"	die Familie, die Familien		[sound:BAKU_Familie_dwdownload.mp3]		kein-problem
"airport<br><img src=""39539385_507.jpg"" width=""50%"" height=""50%"">"	der Flughafen, die Flughäfen		[sound:A1_E5_L2_S12_A1_Audio1_dwdownload.mp3]		kein-problem
"guitar<br><img src=""39539231_507.jpg"" width=""50%"" height=""50%"">"	die Gitarre, die Gitarren 		[sound:BAKU_A1_Gitarre_dwdownload.mp3]		kein-problem
hobby	das Hobby, die Hobbys 		[sound:BAKU_A1_Hobby_dwdownload.mp3]		kein-problem
"hotel<br><img src=""39539557_507.jpg"" width=""50%"" height=""50%"">"	das Hotel, die Hotels 		[sound:BAKU_A1_Hotel_dwdownload.mp3]		kein-problem
"information<br><img src=""39539245_507.jpg"" width=""50%"" height=""50%"">"	die Information <br><small><i>Kurzform von: der Informationsschalter, hier nur Singular</i></small>		[sound:BAKU_A1_Information_dwdownload.mp3]		kein-problem
"coffee<br><img src=""39539203_507.jpg"" width=""50%"" height=""50%"">"	der Kaffee, die Kaffees (nach Zahl: Kaffee)		[sound:BAKU_A1_Kaffee_dwdownload.mp3]		kein-problem
No problem.	Kein Problem.		[sound:BAKU_A1_kein_Problem_dwdownload.mp3]		kein-problem
"movie theater<br><img src=""39539217_507.jpg"" width=""50%"" height=""50%"">"	das Kino, die Kinos 		[sound:BAKU_A1_Kino_dwdownload.mp3]		kein-problem
"concert<br><img src=""39539189_507.jpg"" width=""50%"" height=""50%"">"	das Konzert, die Konzerte 		[sound:BAKU_A1_Konzert_dwdownload.mp3]		kein-problem
culture	die Kultur <br><small><i>hier nur Singular</i></small>		[sound:BAKU_die_Kultur_dwdownload.mp3]		kein-problem
"museum<br><img src=""39539125_507.jpg"" width=""50%"" height=""50%"">"	das Museum, die Museen		[sound:BAKU_A1_Museum_dwdownload.mp3]		kein-problem
"music<br><img src=""39539140_507.jpg"" width=""50%"" height=""50%"">"	die Musik <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Musik_dwdownload.mp3]		kein-problem
okay	okay <br><small><i>aus dem Englischen</i></small>		[sound:BAKU_A1_okay_dwdownload.mp3]		kein-problem
"pilot (male)<br><img src=""39963368_507.jpg"" width=""50%"" height=""50%"">"	der Pilot, die Piloten 		[sound:BAKU_A1_Pilot_dwdownload.mp3]		kein-problem
"pilot (female)<br><img src=""39963585_507.jpg"" width=""50%"" height=""50%"">"	die Pilotin, die Pilotinnen		[sound:BAKU_A1_Pilotin_dwdownload.mp3]		kein-problem
"pizza<br><img src=""39539161_507.jpg"" width=""50%"" height=""50%"">"	die Pizza, die Pizzen  <br><small><i>alternativer Plural: die Pizzas</i></small>		[sound:BAKU_A1_Pizza_dwdownload.mp3]		kein-problem
problem	das Problem, die Probleme 		[sound:BAKU_A1_Problem_dwdownload.mp3]		kein-problem
"restaurant<br><img src=""39538954_507.jpg"" width=""50%"" height=""50%"">"	das Restaurant, die Restaurants 		[sound:BAKU_A1_Restaurant_dwdownload.mp3]		kein-problem
"spaghetti<br><img src=""39538996_507.jpg"" width=""50%"" height=""50%"">"	die Spaghetti (Plural) <br><small><i>nur Plural</i></small>		[sound:BAKU_A1_Spaghetti_dwdownload.mp3]		kein-problem
